First Name,Notes,Address
EAGLE LAKE,"Drains to Eagle Creek, 1.5 mi NE of Howard Hanson Res.","47.30056, -121.73056"
EAGLE ROCK,"Near King-Snohomish County line, W of Beckler River Road","47.77583, -121.35444"
EAST GREEN RIVER PARK,Auburn Black Diamond Rd & St Rte 18    King County,"47.30194, -122.17944"
EAST GREEN RIVER PARK (1 of 3 parks),SE Green Valley Rd at approx 188th Av SE  King Co.,"47.28472, -122.08750"
EAST GREEN RIVER PARK (2 of 3 parks) ,SE Green Valley Rd   & 218th Av SE  King Co.,"47.28333, -122.05333"
EAST GREEN RIVER PARK (3 of 3 parks),W of Green River Gorge State Park at SE 354th St,"47.27750, -122.03417"
EAST GREEN RIVER PARK S`,"SE Green Valley Rd on Green River,  King County","47.30194, -122.17944"
EAST HILL PARK,100 Av SE & S 232nd   Kent,"47.39250, -122.02056"
EAST HILL PARK,SE 248th St & 109th Av SE  Kent,"47.37944, -122.19444"
EAST NORDRUM POT,Drains 400 ft W to Nordrum Lake,"47.55500, -121.42944"
EAST NORWAY HILL PARK,119th Av NE & NE 154th St  King County,"47.73972, -122.17500"
EASTGATE PARK,14400 SE Newport Wy   King County,"47.56944, -122.14306"
ECHO LAKE,"Adjacent to I-90, drains Lake Creek to Raging River","47.51000, -121.86750"
ECHO LAKE,"In Ten Creek, drains to Tokul Creek","47.58833, -121.73694"
ECHO LAKE,Seepage to Peterson Creek & Cedar River,"47.44194, -122.10667"
EDDS LAKE,"Drains to Burntboot Creek, 5 mi E of Mount Thomson","47.47222, -121.34806"
EDGEWICK FIRE STATION,"Exit 32 I-90, go S on Cedar Falls Rd, then right on SE 174 St","47.44472, -121.76278"
EDITH MOULTON PARK,108th Av NE & NE 137th St  King County,"47.72389, -122.19000"
ELBOW LAKE,"N'most of Shamrock Lakes, 1300 ft fm Shamrock Lake","47.50861, -121.50000"
ELBOW LAKE,"N'most of Shamrock Lakes, 1300 ft fm Shamrock Lake","47.51000, -121.50000"
ELIZABETH LAKE,"Head of Money Creek, on SE side of Red Mountain","47.70194, -121.51694"
ELIZABETH LAKE,"1/2 mi W of Cumberland, 2300 ft N of Deep Lake seeps to Grn River","47.28472, -121.93583"
EMERALD LAKE,"Fed by Opal Lake, drains to Jade Lake","47.57944, -121.25417"
ENAPOOH LAKE,"Drains to Eagle Creek, 1.5 mi NE of Howard Hanson Res.","47.30056, -121.73056"
ENATAI PARK,108th Av SE & SE 25th St   Bellevue,"47.58833, -122.19639"
ENUMCLAW COUNTY PARK,Enumclaw-Chinook Pass Rd   King County,"47.19194, -121.95722"
ENUMCLAW FIRE STATION,Corner Stevenson Ave & Wells,"47.20361, -121.99139"
ENUMCLAW POLICE STATION,"1705 Wells St, Enumclaw","47.20639, -121.98917"
ERNIES GROVE,Small housing area to the east of the North Fork County road,"47.53611, -121.74139"
ESTER LAKE,"W side of Cascade Mtn, drains to WF Miller R. ","47.63694, -121.41861"
ETTA COURTNEY LAKE,Drains to May Creek & Lake Washington,"47.53333, -122.16444"
EVANS LAKE,Drains 1.5 mi E to Foss River just below forks,"47.65556, -121.32472"
EVANS LAKE TRAILHEAD,FS Rd 68 (Foss River Rd) to FS 6840 to FS 6846,"47.66000, -121.31667"
EVELYN LAKE,"2700 ft NE of Granite Mtn, drains to Denny Crk & S Fk Snoqualmie ","47.42167, -121.47000"
EVENS LAKE,"Drains to WF Foss River, 5000 ft SSW of Evans Lake","47.63972, -121.33528"
EVEREST PARK,500 8th St S   Kirkland,"47.67167, -122.18778"
FAIRWEATHER PARK,Evergreen Pt Rd & NE 32nd St  Medina,"47.63778, -122.23500"
FALL CITY COUNTY SHOP,"Exit 22, I-90 (Go N from I-90 thru Preston to Fall City about 4.3 miles)","47.56556, -121.88778"
FALL CITY FIRE STATION,"Exit 22, I-90 In Fall City, Corner of SE 43 St & 334 Pl SE","47.56556, -121.89167"
FALL CITY MEMORIAL PARK,42nd St & 333 Av SE   King County,"47.56944, -121.89528"
FALL CITY POLICE STA. (K.C.P.),"In Fall City, corner SE 43rd St & 336th Pl SE","47.56556, -121.89167"
FALL CITY RIVERFRONT PARK,Fall City-Carnation Rd SE    King County,"47.57083, -121.88861"
FALL CITY SLOUGH,Narrow slough forms complete circle 1/2 mi N of Fall City,"47.57528, -121.88222"
FARRELL MCWHIRTER PARK,196th NE & NE 108th Pl. Redmond,"47.69194, -122.08528"
FEDERATION FOREST STATE PARK,"North of Hwy 410, just before Greenwater","47.15417, -121.69861"
FELL HILL,"NE of Enumclaw, near old railroad grade","47.24417, -121.95083"
FERNWOOD PARK,233rd Av SE & SE 266th St   King County,"47.36444, -122.03417"
FINDLEY LAKE 1,"Head of Findley Creek, 5 mi SE of Chester Morse Lake","47.31944, -121.58333"
FINDLEY LAKE 2,"Drains to Findley Creek, 1000 ft N of Findley Lk 1","47.32222, -121.58333"
FINDLEY LAKE 3,"In Findley Creek, 1000 ft below Findley Lk 1","47.32389, -121.58528"
FIRST HILL PARK (Mercer Island),72nd Av SE & SE 32nd St  Mercer Island,"47.58250, -122.24139"
FIRST LAKE,"Fed by Emerald Lake, drains to headwaters E Fk Foss R.","47.58528, -121.25639"
FIRST LAKE,Drains to Boise Creek & White River,"47.19778, -121.92083"
FISH LAKE,"3500 ft W of Deep Lake, fed by Coal Creek, seeps to Grn River","47.27167, -121.95500"
FISH LAKE,"1 3/4 mi E fm Ravensdale, drains to Green River","47.35278, -121.94222"
FITCHENER SLOUGH,"Drains to Snoqualmie River, opposite Sunday Creek","47.66278, -121.63861"
FITZNER SLOUGH,"Drains to Snoqualmie River, opposite Sunday Creek","47.66278, -121.63861"
FIVE ACRE LAKE,Drains 1500 ft NW to Angeline Lake,"47.56361, -121.29889"
FLAMING GEYSER PARK,SE Flaming Geyser Rd (N of Enumclaw off of Hwy 169),"47.27889, -122.02333"
FOEHN LAKE,"3000 ft SW of Opal Lake, drains to Otter Lake","47.56667, -121.25639"
FOOLS GOLD LAKE,"Drains to Lake Dorothy, 3500 ft S of Marlene Lake","47.55000, -121.36528"
FORBES CREEK PARK,11615 NE 106th Ln & 116th Av   Kirkland,"47.69472, -122.18361"
FORBES LAKE,E of I-405 between NE 92nd St and NE 97th St,"47.68611, -122.17722"
FOREHILL NORTH PARK,SE 49th St & 134th Av SE   Bellevue,"47.55778, -122.16222"
FOREST GLEN PARK,SE 63rd St off of Forest Dr SE   Kirkland,"47.56944, -122.18139"
FOSS RIVER CAMPGROUND,"On Foss River road, SE of Skykomish","47.65278, -121.28611"
FOSTER PARK,S 259th St & 74th Av S   Kent,"47.37028, -122.24139"
FOUR CORNERS ,"Hwy 516  & 169, Kent-Kangley & Mpl Valley-Blk Diamd","47.36139, -122.01917"
FOURTEEN LAKE,"1/2 mi S of Black Diamond, drains via ditch to Rock Creek","47.30194, -122.00194"
FRANCIS LAKE,"W side of Cascade Mtn, drains to WF Miller R. ","47.63694, -121.41861"
FRANCIS LAKE,"Fed by Webster Lake, drains to Cedar River","47.43333, -122.03194"
FRANKLIN FALLS,"Exit 47, I-90 (Falls are 1 mi north of Denny Creek Campground)","47.42500, -121.43139"
FRAZIER MARSH,"In Griffin Creek, 12,000 ft SW of Hull Lake","47.64111, -121.83528"
FROZEN LAKE,"Drains to Kaleetan Lake 1600 ft to the west, S of Ice Lake","47.46500, -121.48278"
FROZEN MOUNTAIN,"NE of S Fk Tolt Resevoir,  NE of Crater Lake","47.74417, -121.55750"
FS RD 56,"FS Rd 56 is Mid Fk road, no bridge across river","47.53750, -121.57667"
FS RD 56,FS Rd 56 (Mid Fk Rd) to 5630 to trailhead,"47.57667, -121.44417"
FS RD 56,Trail starts from trail 1002,"47.57389, -121.44000"
FS RD 5620,FS Rd 56 (Mid Fk) to FS 5620 to trailhead,"47.51722, -121.45278"
FS RD 5620,Trail starts from trail 1030,"47.54333, -121.25000"
FS RD 5620,FS Rd 56 (Mid Fk) Trail starts at end of FS Rd 5620,"47.51000, -121.34389"
FS RD 5620,20.4 MI UP Middle Fork Road (FS 5620),"47.49250, -121.43361"
FS RD 57,N Fk road to FS Rd 57 to trailhead,"47.58833, -121.50417"
FS RD 57,N Fk road to FS rd 57 to trailhead,"47.61000, -121.52750"
FS RD 5720,N Fk road to FS Rd ,"47.64556, -121.58972"
FS RD 6024,FS road begins at Baring but Trailhead is in Sno County,"47.77444, -121.48056"
FS RD 6412,FS Rd 6410 (Miller River Rd) to FS 6412 ,"47.61139, -121.38667"
FS RD 6420,FS Rd 6420 is Money Creek Rd (Hwy 2 W of Skykomish),"47.53694, -121.51694"
FS RD 68,"Trailhead is on FS 68, S of turn off to Tonga Ridge","47.66444, -121.28611"
FS RD 68,Trailhead is at end of FS 68 (Foss River Rd),"47.63694, -121.30111"
FS RD 6830,FS Rd 68 (Foss River Rd) from Hwy 2 E of Skykomish,"47.67889, -121.25639"
FS RD 6846,FS Rd 68 (Foss River Rd) to FS 6840 to FS 6846,"47.66000, -121.32028"
FS RD 70 (start),"Just before MP 45, Hwy 410, (Go N & E towards Natches Pass)","47.13694, -121.62583"
FS RD 9020 (intersection McClellan Butte trail),"Exit 38, I-90 (S side of I-90),(At 2.8 mi rd intersects McClellan Butte trail)","47.40861, -121.60194"
FS RD 9020 (start),"Exit 38, I-90 (S side of I-90)","47.42889, -121.63444"
FS RD 9030 (start),"Exit 45, I-90, FS RD 9030 leads to Talapus Lake, 9031 goes from 9030 to Mason Lk","47.37944, -121.52556"
FS RD 9030(at trailhead),"Exit 45, I-90, N side of I-90 go 8/10 mi W then 2.4 mi N & E","47.40000, -121.51694"
FS RD 9031(at trailhead),"Exit 45, I-90. Trailhead is on N side of I-90, turn west go about 3 mi.","47.42444, -121.58333"
FS RD 9032(at Bandera),"Exit 45, I-90, FS RD 9032 leads to Bandera Airstrip on S side I-90","47.39556, -121.52972"
FS RD 9040,"Exit 52, I-90 North of Freeway, Trailhead is by Alpental Maint shop.","47.44472, -121.42194"
FULLER MOUNTAIN,"On Weyerhaeuser tree farm, NW of Spur Gate 10","47.58694, -121.73722"
FULMER FIELD,Harvey Rd NE & 5th St NE  Auburn,"47.31361, -122.21361"
FURY LAKE,"In Ten Creek, drains to Tokul Creek","47.58833, -121.73694"
G S A PARK,15th St SW & C St SW  Auburn,"47.29778, -122.23278"
GAME FARM WILDERNESS PARK,Stuck River Dr (S of White River)  Auburn,"47.29194, -122.19444"
GAP LAKE,"Head of trib. to Taylor River, 1 1/4 mi NE of Marten Lk","47.60278, -121.48278"
GARFIELD MOUNTAIN,"N of Middle Fk Snoq. River, 3 mi NE fm mouth of Dingford Creek","47.55639, -121.50833"
GARFIELD MOUNTAIN,Extension of mountain primarily in 175 C,"47.55194, -121.49139"
GARFIELD MOUNTAIN LAKE (LOWER),"Head of Trib to Taylor River, .7 mi E of Garfield Mountain","47.55500, -121.47639"
GARFIELD MOUNTAIN LAKE (UPPER),Drains 1300 ft NW to Lower Garfield Mountain Lake,"47.55194, -121.47000"
GARRISON CREEK PARK,S 218th St & 98th Av S   Kent,"47.40556, -122.20917"
GARY GRANT SOOS CREEK PARK,SE 204th Wy   King County,"47.42444, -122.16444"
GEM LAKE,"Drains to Snow Lake, 2300 ft to the south","47.47667, -121.46556"
GEM LAKE TRAILHEAD,Trailhead is on Trail 1013 by Snow Lake,"47.46806, -121.44861"
GENE COULON MEMORIAL BEACH PK,Lake Washington Blvd N (On Lake Washington) Renton,"47.50722, -122.20083"
GIBSON PARK,105 Wildwood Blvd SW  Issaquah,"47.53028, -122.04056"
GIFFORD LAKES (LOWER),"Drains to MF Snoqualmie River, 1 mi S of Russian Butte","47.48694, -121.59611"
GIFFORD LAKES (UPPER),Drains to Lower Gifford Lakes,"47.48111, -121.59611"
GINDER LAKE,Marshy at both ends drains to Lake Sawyer,"47.32667, -121.99333"
GINGERLESS LAKE,"Drains to Goat Creek, 1 mi SW of Mt Thompson","47.46500, -121.36750"
GLENCO PARK,NE 24th St & Anacortes Av NE  Renton,"47.51278, -122.15806"
GOAT BASIN,South of Crystal Lakes,"47.67889, -121.46778"
GOAT LAKE,"Drains to Horsehoe Lake, 500 ft to the south","47.53889, -121.41861"
GOAT MOUNTAIN,"E of Goat Mountain Lake, N of Mowitch Lake","47.61444, -121.54694"
GOAT MOUNTAIN,1.2 mi E of Lake Albert,"47.28333, -121.52750"
GOAT MOUNTAIN LAKE,"Drains to N Fk Cougar Creek, 4900 ft NW of Big Cougar Lake","47.61583, -121.53611"
GODDARD PARK,100th Av NE & NE 8th St   Bellevue,"47.61694, -122.20639"
GOLD LAKE,"Head of W branch E Fk Miller River, Drains 2.5 mi NW to Lake Dorothy","47.54917, -121.34167"
GOLDCREEK COUNTY PARK,148th Av NE & NE 147th Pl   King County,"47.74111, -122.14722"
GOLDEN LAKE,Drains 1500 ft NW to Angeline Lake,"47.56361, -121.29889"
GOLDMYER HOT SPRINGS,On Middle Fk Road,"47.48528, -121.38667"
GOLDSMITH PARK (1 of 2 in Bellevue),NE 35th St  (W of NE 148th Av)  Bellevue,"47.64111, -122.14306"
GOLDSMITH PARK (2 of 2 in Belleuve),NE 35th St (W of NE Bellevue-Redmond Rd)  Bellevue,"47.63972, -122.11528"
GOUGING LAKE,"Drains to WF Miller River, 6000 ft SW of Francis Lake","47.61722, -121.43139"
GOVERNMENT MEADOWS,"Just before MP 45 Hwy 410, go E on FS Rd 70 towards Natches Pass","47.10500, -121.38889"
GRANDPA LAKE,"Drains to Yellow Creek, trib. to NF Tolt River","47.76278, -121.74556"
GRANITE LAKES (LOWER),"1200 ft N of Upper Granite Lake, fed by Upper Lk, dr via Granite Creek","47.45500, -121.61528"
GRANITE LAKES (UPPER),"At head of Granite Creek, dr to Lower Granite Lk.","47.45056, -121.60889"
GRANITE MOUNTAIN,"ENE of Denny Creek Campground, S of Crystal Lake","47.41722, -121.48056"
GRANITE MOUNTAIN TRAILHEAD,"Exit 47, Cross freeway, turn rt, T/H is across fm Asahel Curtis Picnic","47.39806, -121.48500"
GRANITE MOUNTAIN TRAILHEAD,"Exit 47, Cross freeway, turn lft, T/H is on FS Rd 9034","47.39611, -121.47278"
GRASS LAKE,"2800 ft N fm Morton Lake, drains Covington Creek to Green River","47.33528, -122.10667"
GRASS LAWN PARK,NE Old Redmond Rd & 148th Av NE  Redmond,"47.66861, -122.14389"
GRASS MOUNTAIN GATE,MP 30.6 on N side of Hwy 410 ,"47.16306, -121.89167"
GRAVEL LAKE,"Drains to Goat Creek, 1 mi SW of Mt Thompson","47.46500, -121.36750"
GRAVELLY LAKE,"Drains to Goat Creek, 1 mi SW of Mt Thompson","47.46500, -121.36750"
GREEN LAKE,"Between SE 8th St & SE 3rd St, E of 148th Av SE","47.60556, -122.13889"
GREEN MOUNTAIN,1.2 mi NE of Mt Teneriffe,"47.51722, -121.67083"
GREEN PASS,"On Pacific Crest trail, SE of Blowout Mountain","47.13389, -121.32250"
GREEN RIDGE LAKE,"2000 ft SW of Rock Lake, Drains to M Fk Snoqualmie R.","47.54056, -121.45083"
GREEN RIVER GORGE STATE PARK,SE Flaming Geyser Rd (N of Enumclaw off of Hwy 169),"47.27889, -122.02333"
GREEN SLOUGH,"Connected to Horseshoe Slough, drains to Snoqualmie R.","47.62444, -121.92500"
GREEN TREE PARK,SE 216th St & 120th Av SE  King County ,"47.40861, -122.17944"
GREENWATER (At Chevron Station),"Chevron Station just before MP 43, Hwy 410","47.15861, -121.65750"
GREENWATER FIRE STATION,"Just before MP 44, Hwy 410 on N side of Hwy","47.14556, -121.63444"
GREENWATER LAKES (LOWER),On King/Pierce County line dr via Greenwater River,"47.08972, -121.45278"
GREENWATER LAKES (UPPER),On King/Pierce County line dr via lower lake to Greenwater River,"47.08694, -121.44639"
GRIFFIN CREEK GATE,"Hwy 203 south of Carnation, go east on NE 11th St about 3 mi","47.60417, -121.88222"
GROTTO LAKE,"Head of Barclay Creek, on N side of Klinger Ridge","47.76444, -121.39944"
GROTTO MOUNTAIN,"On Klinger Ridge, SE of Baring","47.75861, -121.40806"
GROVELAND PARK,Deerford Road (W of West Mercer Wy)  Mercer Island,"47.55194, -122.23278"
GUS'S LAKE,"In Camp Robber Creek, 4500 ft N of Gold Lake","47.56500, -121.33972"
GUYE PEAK,N of Snoqualmie Ski Area,"47.44194, -121.40806"
GUYE PEAK TRAILHEAD ,"Exit 52, I-90.  Trailhead is 1/4 mi N of I-90","47.42889, -121.41222"
HAM LAKE,"N of SE 240 St, S of W side of Lake Youngs, drains Big Soos Creek","47.38833, -122.12806"
HANCOCK LAKE,"Drains to Hancock Creek, Trib to N Fk Snoqualmie River","47.56944, -121.67083"
HANS LAKE,"In Griffin Creek, 4000 ft S of Frazier Marsh","47.61583, -121.84167"
HARDSCRABBLE LAKES (LOWER),"In Hardscrabble Creek, 1 mi SE of Big Snow Mountain","47.52750, -121.35028"
HARDSCRABBLE LAKES (UPPER),"Head of Hardscrabble Creek, 1.2 mi E of Big Snow Mountain","47.53167, -121.34056"
HATCHERY PARK,Auburn-Black Diamond Rd (at approx 126th Av SE)  K.C.,"47.30361, -122.17083"
HATCHET LAKE,Drains 1300 ft NE to Derrick Lake,"47.49556, -121.50417"
HAYSTACK,"NE of Enumclaw, and E of Fell Hill","47.24417, -121.94333"
HAZELWOOD PARK,SE 73rd Pl & 121st Pl SE   King County,"47.53611, -122.17722"
HEADWORKS GATE,"Take SE Grn River Headworks road, at Palmer for 2 mi.","47.30639, -121.85028"
HEART LAKE,Drains via a series of falls 3000 ft NE to Delta Lake,"47.57667, -121.31611"
HEATHERDOWNS PARK,NE 3rd Pl & Union Av SE   Renton,"47.48694, -122.16444"
HEMLOCK PASS,S of Melakwa Pass,"47.44472, -121.46778"
HEMLOCK PEAK,SE of Bryant Peak,"47.44917, -121.45722"
HERBERT LAKE,"Drains to Mason Creek, 5 mi SE of Mt Defiance","47.42806, -121.55639"
HESTER LAKE,"Drains to Dingford Creek, 2800 ft NW of Mt Price","47.50861, -121.39306"
HESTER LAKE (UPPER),"Drains to Hester Lake, 700 ft to the E.","47.50861, -121.40194"
HESTER LAKE LOWER,"Drains to Dingford Creek, 2800 ft NW of Mt Price","47.50861, -121.39306"
HESTER LAKE TRAILHEAD,Trail starts from trail 1005,"47.56500, -121.46139"
HESTER POTHOLE,"Drains to Dingford Creek, 1300 ft NW of Hester Lake","47.51444, -121.39944"
HI LO POTHOLES,"S of Hi Lo Lake, drains to M Fk Snoqualmie River","47.53889, -121.44222"
HIDDEN VALLEY PARK,112th Av NE  (at NE 20th St)  Bellevue,"47.62833, -122.19389"
HIGH POINT,"Exit 20, I-90 (South of freeway).","47.53028, -121.98500"
HIGHLANDS PARK (Kirkland),11210 NE 102nd St & 112th Av NE   Kirkland,"47.69056, -122.18778"
HIGHLANDS PARK (Renton),NE 7th St & Edmonds Av NE  Renton,"47.49556, -122.18139"
HILLAIRE PARK,NE 6th St (approx 160th Av NE)  Bellevue,"47.61583, -122.12806"
HI-LOW LAKE,"Drains to Green Ridge Lake, 1000 ft to the west","47.54056, -121.44222"
HINTER LAKE,"Drains to EF Miller river, 6000 ft SW of Malachite Peak","47.61444, -121.35889"
HOBART MILL POND,"1/2 mi N from Hobart, drains Carey Creek to Sammamish Lake","47.42889, -121.97417"
HOLM LAKE,"Marshy at both ends, drains to Green River on map 204C and 204D","47.30361, -122.12583"
HOLM LAKE,"Marshy at both ends, drains to Green River on map 204C and 204D","47.30194, -122.12389"
HOLOMAN LAKE,"Drains to NF Tolt river, 1.5 mi S of Mt Persis","47.77028, -121.62167"
HOLOMAN LAKE,"Drains to NF Tolt river, 1.5 mi S of Mt Persis","47.77028, -121.62167"
HOMESTEAD FIELD,SE 40th St & 80th Av SE  Mercer Island,"47.57389, -122.23056"
HONEY LAKE,"4600 ft SW of Mowitch Lk, drains to Sunday Creek","47.59111, -121.56611"
HORSEHOE SLOUGH,"4 1/4 mi N of Fall City, connected to Green Slough","47.62306, -121.92083"
HORSESHOE LAKE,"Marshy lake adjacent to W side of Hwy 203, N of Carnation","47.66583, -121.90806"
HORSESHOE LAKE,"S'most of Shamrock Lakes, 1000 ft NW fm Derrick Lk","47.50417, -121.50194"
HORSESHOE LAKE,"S'most of Shamrock Lakes, 1000 ft NW fm Derrick Lk","47.50417, -121.50000"
HORSESHOE LAKE,"Head of Goat Creek, trib to Dinford Creek","47.53472, -121.42083"
HORSESHOE LAKE,"E side Auburn/Blk Diamond Rd, drains Crisp Creek to Grn River","47.30917, -122.04056"
HORSESHOE LAKE,"Head of Thompson Creek, 1.5 mi NW of Mt Defiance","47.45639, -121.58528"
HOSTAK LAKE,E of Petrovitsky Road and Lake Youngs drains to Cedar River,"47.42889, -122.10667"
HOUGHTON BEACH PARK,5811 Lake Washington Blvd NE  Kirkland,"47.65861, -122.20500"
HOWARD HANSON RESEVOIR,"6 mi SE fm Kanasket, Maps 205D and 206C","47.27306, -121.76694"
HUCKLEBERRY MOUNTAIN,"On King-Kittitas County line, E of Edds Lake","47.47528, -121.33333"
HULL LAKE,Head of E Fk Griffin Creek,"47.66444, -121.79694"
HUMPBACK MOUNTAIN,"S of Exit 45, I-90, Mountain extends into 207C","47.38028, -121.48806"
HUMPBACK MOUNTAIN,"S of Exit 45, I-90, Mountain extends into 207A","47.37306, -121.49333"
HUNTS LAKE,"Head of WF Ross River, 1.5 mi S of Trout Lake","47.59250, -121.30750"
HUNTS POINT PARK,84th Av NE & NE 30th St  Hunts Point,"47.63833, -122.22417"
HYDE LAKE,"1/2 mi W of Cumberland, 2300 ft N of Deep Lake seeps to Grn River","47.28472, -121.93583"
ICE LAKE,"Drains to Kaleetan Lake, 1600 ft to the west, N of Frozen Lk","47.46722, -121.48333"
ICEBERG LAKE,"Head of Burntboot Creek, 1 mi SW of Chimney Rock","47.50139, -121.30333"
IDYLWOOD PARK,Sammamish Pkwy NE & NE 38th St   Redmond,"47.64250, -122.10028"
ILSWOOT LAKE,"Drains to EF Foss River, 1000 ft E of Necklace Valley","47.58528, -121.25000"
INDIAN TOM PARK,6th St NE & Henry Rd   Auburn,"47.31361, -122.20917"
INGLEMOOR COUNTY PARK,88th Av NE & NE 157th St   King County,"47.74250, -122.22000"
INK LAKE,"Drains to Index Creek, 2 mi ESE of Mt Index","47.76583, -121.54250"
INTERMITTENT LAKE,"1600 ft N of Yellow Lake, drains Issaquah Creek to Lk Samm.","47.57806, -121.51056"
INTERMITTENT LAKE,"4000 ft W of Laughing Jacobs Lake, drains to Sammamish Lk","47.57667, -122.04472"
INTERMITTENT LAKE,3500 ft of Stillwater,"47.68333, -121.93361"
INTERMITTENT LAKE,"Swampy area crossed by SR 203, drains to Snoqualmie River","47.58528, -121.89611"
