First Name,Notes,Address
SAMMAMISH RIVER REGIONAL PARK (Redmond),NE 116th St & 150th Av NE  Redmond,"47.70361, -122.14306"
SAWYER LAKE,"Drains to Covington Creek & Green River, has 4 sm islands","47.33389, -122.03611"
SAWYER LAKE SLOUGH,"Peat bog pond in marsh area, drains to Ravensdale Creek","47.33694, -122.01472"
SAWYER LAKE SWAMP,"1000 ft fm Lake Sawyer, fed by Rock Creek, drains to Lake Sawyer","47.32222, -122.02556"
SCALE GATE (Weyerhaeuser),"On Hwy 410, SE of mill, entrance to Weyerhaeuser land south of Hwy 410","47.18167, -121.92083"
SCENIC HILL PARK,S 257th St & Woodland Wy S    Kent,"47.37028, -122.20833"
SCOOTIE BROWN PARK,8th St NE & Henry Rd   Auburn,"47.31500, -122.20833"
SCOTTY'S LAKE (1),"Drains to NF Green River, 2 mi N of Cougar Mountain","47.29111, -121.65361"
SCOTTY'S LAKE (2),"Drains to NF Green River, 300 ft W of Lake 1","47.29056, -121.64944"
SCOUT LAKE,"Head of Hansen Creek, 1 mi W of Abiel Peak","47.35278, -121.49139"
SEATTLE EAST (KENS TRUCK TOWN),"Exit 34, I-90 (Truck stop is just N of freeway)","47.46806, -121.71556"
SECOND LAKE,"Sometimes called Boise Lk in error, drains to White River","47.20778, -121.92500"
SECRET PARK,W Mercer Wy & SE 27th St   Mercer Island,"47.58694, -122.24778"
SETTLERS LANDING PARK,Lake Washington Blvd NE & 10th  Kirkland,"47.66722, -122.20500"
SEVEN OAKS PARK,SE 259th Pl & 118th Pl SE   King County,"47.36861, -122.18361"
SHADOW LAKE,"2 1/2 mi W fm Maple Valley, drains via Soos Creek to Green River","47.40556, -122.08528"
SHADY LAKE,E of Petrovitsky Road and Lake Youngs drains to Cedar River,"47.42889, -122.10667"
SHAMROCK LAKE,"W'most of Shamrock Lakes, dr to Elbow Lake","47.50556, -121.50639"
SHAMROCK PARK,SE Orchard Drive   North Bend,"47.48972, -121.78417"
SHAUGHNESSY PARK,21st St SE (W of Hemlock Drive)  Auburn,"47.29056, -122.18361"
SHEETS PASS,"On Pacific Crest trail, between Bearpaw Butte and Tacoma Pass","47.21500, -121.32472"
SHORT LAKE,"Head of Mason Creek, 1 mi SE of Mt Defiance","47.42306, -121.55111"
SHORTS LAKE,Drains 2000 ft S to Klaus Lake,"47.59694, -121.75639"
SI VIEW COUNTY PARK,SE Orchard Dr & Meadow Dr SE  North Bend,"47.49111, -121.78194"
SIERRA HEIGHTS PARK,SE 100th St & 128th Av SE   King County,"47.51444, -122.16861"
SIKES LAKE,"At Carnation Farm, 3000 ft long","47.67889, -121.95500"
SILVER PEAK,"1/2 mi NE of Annette Lake, on King-Kittitas County line","47.36139, -121.45917"
SINK HOLE LAKE,"1000 ft NW fm Beaver Lk, fed by Beaver Lk, seeps to Cristy Creek","47.26500, -122.00528"
SKIE LAKE,"Head of trib to NF Snoqualmie River, 1.2 mi SE of Hancock Lake","47.54778, -121.65583"
SKYKOMISH AIRPORT,"Airstrip is located just E of Skykomish, S side of river","47.71083, -121.33750"
SKYKOMISH CACHE,"Cache is in Forest Service Compound, 2 blks East of Fire Station","47.70778, -121.35667"
SKYKOMISH FIRE STATION,"MP 48.8, Hwy 2 turn S. go across railroad tracks 1 block","47.70778, -121.35889"
SKYKOMISH PARK,NE Stevens Pass Hwy (E of Skykomish),"47.71222, -121.34806"
SKYKOMISH RANGER STATION,"MP 50, Hwy 2 on North side of Hwy","47.71361, -121.33111"
SKYLINE LAKE,"Drains to head of Tye River, 1 mi NW of Stevens Pass","47.75722, -121.09611"
SKYWAY PARK,S 120th Pl & 70th Av S   King County,"47.49417, -122.24333"
SMC LAKE,"Head of trib to NF Snoqualmie River, 1.2 mi SE of Hancock Lake","47.54778, -121.65583"
SMITH LAKE,"Head of Smith Creek, 2200 ft N of Dream Lake","47.60861, -121.43139"
SMITH LAKE POTHOLE,"Head of Smith Creek, 200 ft S of Smith Lake","47.60722, -121.43139"
SNOQUALMIE LAKE,"Fed by Deer Lake, headwaters N branch Taylor River","47.56806, -121.41222"
SNOQUALMIE LAKE POTHOLE LOWER,"Drains to Snoqualmie Lake, 2000 ft to the NW","47.55917, -121.40167"
SNOQUALMIE LAKE POTHOLE UPPER,"700 ft E fm Lower Pothole, drains to Lower Pothole ","47.55917, -121.39722"
SNOQUALMIE LAKE TRAIL,FS Rd 6410 (Miller River Rd) to FS 6412 ,"47.61139, -121.38667"
SNOQUALMIE LAKE TRAILHEAD,FS Rd 56 (Mid Fk Rd) to 5630 to trailhead,"47.57667, -121.44417"
SNOQUALMIE LAKE UPPER,"Drains to Snoqualmie Lake, 2800 ft to the NW","47.55278, -121.41278"
SNOQUALMIE MILL POND,"Log pond at Snoqualmie Falls Lumber Co. mill, circular in shape","47.53333, -121.82028"
SNOQUALMIE MOUNTAIN,N of Alpental Ski Resort,"47.45917, -121.41444"
SNOQUALMIE PASS,"Exit 52, I-90 Divide line between King and Kittitas Counties","47.42444, -121.41000"
SNOQUALMIE PASS CACHE,"Exit 52, I-90 just S of I-90 at Fire Sta. (Don't park in front of fire doors)","47.42444, -121.41278"
SNOW LAKE,"Head of Rock Creek, 3 mi NW of Snoqualmie Pass","47.46806, -121.45278"
SNOW LAKE TRAILHEAD,20.4 MI UP Middle Fork Road (FS 5620),"47.49250, -121.43361"
SNOW LAKE TRAILHEAD,"Exit 52, I-90 North of Freeway, Trailhead is by Alpental Maint shop.","47.44472, -121.42194"
SNOWFLAKE LAKE,"Drains to Dingford Creek, 400 ft SW of Big Snow Lake","47.54194, -121.37167"
SNOWSHOE BUTTE,"On Pacific Crest trail, ENE of Lester","47.22667, -121.36528"
SNOWSHOE FALLS,"Near Denny Creek trail, N of Keewulee Falls","47.43472, -121.45278"
SOBIESKI MOUNTAIN,"Location of SAR repeater. S on Foss River Rd, E of Skykomish ","47.68111, -121.32667"
SONIA LAKE,"In marshy area, narrow lake 600 ft long, drains via Newmine Creek","47.33250, -121.99028"
SOURCE LAKE,"Head of SF Snoqualmie River, 2.7 mi NW of Snoqualmie Pass","47.45556, -121.45083"
SOURCE LAKE TRAILHEAD,Trail starts from trail 1013,"47.45639, -121.44639"
SOUTH BURNETT LINEAR PARK,Burnett Av S & 3rd St   Renton,"47.47528, -122.20611"
SOUTH MOOLOCK LAKE,"Head of trib to NF Snoqualmie River, 1.2 mi SE of Hancock Lake","47.54778, -121.65583"
SOUTH TIGER MOUNTAIN,SE of Hwy 18 summit trailhead,"47.45917, -121.95917"
SPAIGHTS POND,"Private fish pond, in/out Crisp Creek to Green River","47.28889, -121.30750"
SPIDER LAKE,"Head of Spider Creek, trib to Thompson Creek","47.44917, -121.57028"
SPINNEY HOMESTEAD PARK,119th Av NE   at approx 100th NE  Kirkland,"47.68889, -122.18139"
SPIRITBROOK PARK,156th Av NE & NE 59th Pl   Redmond,"47.66444, -122.13889"
SPIRITRIDGE PARK,161st Av SE & SE 33rd Pl   Bellevue,"47.58111, -122.12583"
SPOOK LAKE,"1 1/4 mi E of Langois Lake, marshy, drains to Tolt River","47.63972, -121.85667"
SPOON LAKE,"2 1/2 mi W fm Maple Valley, drains via Soos Creek to Green River","47.40556, -122.08528"
SPORTSMAN PARK,187th Av NE & NE 65th St   Redmond,"47.66444, -122.08528"
SPRING HILL PARK,Bellevue Wy NE  at approx NE29th St  Bellevue,"47.63694, -122.20111"
SPRING LAKE,Drains via Peterson Creek to Cedar River,"47.43611, -122.08750"
SPRINGBROOK GREENBELT,SW 43rd St   at approx 78th Av S,"47.43889, -122.23694"
SPUR 10 GATE,"Exit 31, I-90 in North Bend go N on Ballarat to Ernies Grove & about 4 mi N on County Rd","47.57528, -121.73639"
SQUAK MOUNTAIN,"S of Issaquah, W of Tiger Mountain","47.49694, -122.03611"
SQUAK MOUNTAIN STATE PARK NATURAL AREA,Squak Mountain Rd (S of Issaquah),"47.51444, -122.04250"
STAMPEDE PASS,"Exit 62, I-90 (Road to Stampede Pass)","47.28333, -121.35028"
STANRIDGE HILL,"W of Fell Hill, NNE of Enumclaw","47.24556, -121.97000"
STICKNEY SLOUGH,"3 mi NW of Fall City, an old Snoqualmie River channel","47.60417, -121.93139"
STINK LAKES,3 lakes (on map as one) drains E to Clay Creek & White River,"47.18333, -121.80528"
STURTEVANT LAKE,E of I-405 between NE 8th St & NE 12th St,"47.62028, -122.17944"
SUGARLOAF MOUNTAIN,3.7 mi E of Ravensdale 1.5 mi NW of Kanaskat,"47.35278, -121.90806"
SUMMIT CHIEF MOUNTAIN,"On King-Kittitas County lines, NE of Overcoat Peak","47.52306, -121.26472"
SUMMIT NORTH PARK,SE 63rd St   (E of Lakemont Blvd SE)  Bellevue,"47.54611, -122.12806"
SUNDAY LAKE,"In Sunday Creek, 3 mi N of N Fk Snoqualmie River","47.62528, -121.57889"
SUNDAY LAKE,"In Sunday Creek, 3 mi N of N Fk Snoqualmie River","47.62444, -121.57889"
SUNDAY LAKE LOWER,"In Sunday Creek, just below Sunday Lake","47.62944, -121.58000"
SUNDAY LAKE TRAILHEAD,N Fk road to FS Rd 5720 to trailhead,"47.64694, -121.58972"
SUNNY BANK PARK,N Mercer Wy   (N of I-90)  Mercer Island,"47.58694, -122.22417"
SUNRISE PARK,W Lk Sammamish Pkwy SE   King County,"47.57222, -122.10444"
SUNSET COURT PARK,Harrington Pl NE   (S of NE 12th St)  Renton,"47.50139, -122.18139"
SUNSET RAVINE PARK,135th Av SE   at approx SE 38th St  Bellevue,"47.57667, -122.15806"
SUNTOP MTN,"At MP 49, Hwy 410 turn S on FS road 73","47.03889, -121.59611"
SURVEYORS LAKE,"Head of Rockdale Creek, 2 mi S of Snoqualmie Pass","47.39556, -121.43028"
SUTTER LAKE,"3000 ft  W of Yellow Lake, drains to Sammamish Lake","47.57528, -122.02556"
SUTTER MILL POND,"3000 ft  W of Yellow Lake, drains to Sammamish Lake","47.56750, -122.02556"
SUTTON LAKE NO 1,"Drains to Goat Creek, 3 mi SE of Findley Lake","47.29611, -121.53417"
SUTTON LAKE NO 2,Drains 1400 ft NE to Lake No 1 and Goat Creek,"47.29194, -121.53722"
SWAN LAKE,"Between NE 60th St & NE 64th St, W of 140 Av NE","47.66278, -122.15361"
SWANS MILL POND,"In and out of Stossel Creek, 1 1/2 mi NE of Lake Joy","47.71361, -121.84389"
TACOMA PASS,"On Pacific Crest trail, SE of Sheets Pass","47.20500, -121.30972"
TAHL LAKE,"2750 ft S from Locket Lake, drains to Necklace Valley","47.57389, -121.26278"
TALAPUS LAKE,"In Talapus Creek, 1 mi E of Granite Mountain","47.41444, -121.51694"
TALAPUS LAKE TRAILHEAD,"Exit 45, I-90, N side of I-90 go 8/10 mi W then 2.4 mi N & E","47.40111, -121.51694"
TALAPUS LAKE TRAILHEAD,"Exit 47,cross freeway turn lft, T/H is on FS Rd 9034","47.39611, -121.47278"
TALAPUS LAKE TRAILHEAD (OLD),"Exit 47,Cross freeway turn rt, T/H is across fm Asahel Curtis Picnic Area ","47.39806, -121.48500"
TALBOT HILL PARK,S 19th St & Talbot Rd S   Renton,"47.45778, -122.20722"
TAM O SHANTER PARK,173rd Av NE at approx NE 16th St   Bellevue,"47.62528, -122.10444"
TANK LAKE LOWER,"2000 ft SE of Bonnie Lake, drains to Bonnie Lake","47.56083, -121.26278"
TANK LAKE UPPER,Drains 1500 ft W to Bonnie Lake,"47.56500, -121.26278"
TAYLOR MILL POND,"1/2 mi N from Hobart, drains Carey Creek to Sammamish Lake","47.42889, -121.97417"
TAYLOR MOUNTAIN,SW of summit of Hwy 18,"47.45500, -121.89306"
TAYLOR PARK,Valley St & Park Av   Duvall,"47.73694, -121.98278"
TAYLOR RIVER CAMPGROUND,On Middle Fork Snoq. River Road about 14.7 mi from Kens Truck Town,"47.54778, -121.53417"
TB HONEY LAKE,"Head of E Fk Sunday Creek, 2.5 mi from Sunday Lake","47.59833, -121.54694"
TB MOWITCH LAKE,"4600 ft SW of Mowitch Lk, drains to Sunday Creek","47.59111, -121.56611"
TEATERS BLUFF,S of Preston and adjacent to I-90 (South side of I-90),"47.51861, -121.92722"
TEMPLE MOUNTAIN,"S of Grotto, NW of Miller River campground","47.70361, -121.41444"
TERMINAL PARK,12th St SE & C St SE   Auburn,"47.29611, -122.22417"
TERRACE PARK,10333 NE 67th St & 104th Av NE  Kirkland,"47.66444, -122.19861"
THE TOOTH,SE of Hemlock Peak,"47.44472, -121.45167"
THIRD LAKE,Drains Newaukum Creek to Green River,"47.21500, -121.91444"
THIRTY TWO LAKE,"1 3/4 mi E fm Ravensdale, drains to Green River","47.35278, -121.94222"
THOMPSON LAKE,"Head of Thompson Creek, 1.5 mi NW of Mt Defiance","47.45639, -121.58528"
THOMPSON LAKE TRAILHEAD,Trailhead is on Trail 1007,"47.42444, -121.51278"
THOMPSON LAKE TRAILHEAD,Trailhead is on Granite Creek Rd off of Mid Fk Snoq Riv Rd,"47.46083, -121.60028"
THOMPSON LAKE TRAILHEAD,"Exit 47, cross freeway turn rt, T/H is across fm Asahel Curtis Picnic Area","47.39806, -121.48500"
THOMPSON LAKE TRAILHEAD,"Exit 47,cross freeway turn lft,T/H is on FS Rd 9034","47.39611, -121.47278"
THREE FORKS PARK,42000 SE Reinig Rd    King County,"47.51861, -121.77778"
TIBBETTS VALLEY PARK,NW Newport Wy & 12th Av NW  Issaquah,"47.54056, -122.05750"
TIFFANY PARK,Kirkland Av SE   (at approx SE 20th St)  Renton,"47.46222, -122.17722"
TIGER MOUNTAIN,"Two trailheads, one on Hwy 18 and one on Exit 20, I-90","47.48833, -121.94639"
TIGER MOUNTAIN (WEST) TRAILHEAD,"Exit 20, I-90 (South of freeway)","47.53028, -121.98500"
TIGER MOUNTAIN SUMMIT,"MP 4.3, Hwy 18 (from I-90 Exit 25)","47.46667, -121.92944"
TIGER MTN (WEST) ,"Two trailheads, one on Hwy 18 and one on Exit 20, I-90","47.50861, -121.98500"
TIMBERLANE PARK,Lk Sammamish Pkwy SE & 182nd Av S  King Co,"47.56500, -122.09389"
TINKHAM CAMPGROUND,"S of I-90, Exit before Bandera Airstrip","47.40278, -121.56611"
TINKHAM PEAK,"6/10 mi E of Abiel Lake, on King-Kittitas County line","47.34833, -121.44861"
TITICACA LAKE,"4800 ft W of Mt Lee, Head of Titicaca Creek","47.72528, -121.62583"
TITICAED LAKE,"2000 ft NE of Mt Lee, Head of Titicaed Creek","47.72667, -121.60028"
TO AL'S LAKE,"2750 ft S from Locket Lake, drains to Necklace Valley","47.57389, -121.26278"
TOLT HILL,NE of Redmond Fall City Rd near NE 16th St,"47.62167, -121.95083"
TOLT REGULATING BASIN,"Between Tolt River and N Fk Tolt River, used as settling basin","47.70028, -121.78611"
TONGA RIDGE ROAD,"Hwy 2, MP 50.5 first South turn east of Skykomish Ranger Station","47.71222, -121.31833"
TONGA RIDGE TRAILHEAD,FS Rd 68 (Foss River Rd) from Hwy 2 E of Skykomish,"47.67889, -121.25639"
TONKIN PARK,Williams Av S & S 4th St   Renton,"47.47806, -122.02167"
TOP LAKE,Drains 2300 ft E to Evans Lake,"47.65722, -121.33750"
TOTEM LAKE,At 124 Ave NE and NE 124th St,"47.71083, -122.17500"
TOUGAW OLSON LAKE,Adjacent to N side US 410 dr to White River,"47.19917, -121.94861"
TRADITION LAKE,"1 1/4 mi E fm Issaquah, drains Issaquah Creek to Lake Samm.","47.52889, -122.00194"
TRAIL LAKE,"800 ft N of Island Lake, drains to Blazer Lake & Pratt river","47.42444, -121.53611"
TREEN PEAK,"1 mi NE of Garfield Mtn, N of Charlie Brown Lake","47.56361, -121.47222"
TRIANGLE LAKE,"Drains to NF Green River, 3900 ft NW of Eagle Lake","47.30639, -121.74889"
TROUT LAKE,"In WF of Foss River, 3 mi above forks","47.61722, -121.31194"
TROUT LAKE TRAILHEAD,Trailhead is at end of FS 68 (Foss River Rd),"47.63694, -121.30111"
TSUGA LAKES 1,"Drains to NF Green River, 2 mi N of Cougar Mountain","47.29111, -121.65361"
TSUGA LAKES 2,"Drains to NF Green River, 300 ft W of Lake 1","47.29056, -121.64944"
TUMWATER LAKE,"Head of Great Falls Creek, Trib to EF Miller River","47.63528, -121.40250"
TURNKEY PARK,100th Av SE & S 232nd St   Kent,"47.39250, -122.20389"
TUSCHHATCHIE LAKE TRAILHEAD,"Exit 47, cross freeway turn left, T/H is on FS Rd 9034","47.39611, -121.47278"
TUSCOHATCHIE LAKE (UPPER),"Drains to Lower Tuscohachie Lk, 2.8 mi W of Snoqualmie Pass","47.43333, -121.47639"
TUSCOHATCHIE LAKE LOWER,"Drains to Pratt River, 3 mi NW of Granite Mountain","47.43889, -121.49556"
TUSCOHATCHIE LAKE TRAILHEAD,"Exit 47, cross freeway, turn rt, T/H is across from Asahel Curtis Picnic","47.39806, -121.48500"
TWELVE LAKE,1 1/2 mi NE fm Black Diamond drains via marshy area to Green River,"47.32528, -121.97417"
TWILIGHT LAKE,"S of Yakima Pass, just E of King-Kittitas County line","47.33611, -121.43139"
TWIN PEAKS (NORTH),Between Upper Loch Katrine and Lake Philippa,"47.61722, -121.60667"
TWIN PEAKS (SOUTH),Between Lake Isabella and Upper Loch Katrine,"47.61278, -121.60250"
TWO LAKES,"Just below lookout on Grass Mtn, drains to Clay Creek & Green River","47.20500, -121.80111"
TYE LAKE,"Headwaters of Tye River, 4000 ft NW of Skyline Lake","47.76583, -121.11083"
UNION HILL LAKE,N of NE Union Hill Road and W of 242 Av NE,"47.66444, -122.01917"
UPPER BURNTBOOT LAKE,"Head of Burntboot Creek, 1 mi SW of Chimney Rock","47.50139, -121.30333"
UPPER KATRINE LAKE,Drains to Loch Katrine 4500 ft to the N.,"47.62167, -121.60028"
UPPER LAKE BLETHEN,Drains 1500 ft NW to Blethen Lake (Lower),"47.56806, -121.60889"
UPPER WERNECKE LAKE,Drains 2300 ft E to Evans Lake,"47.65722, -121.33750"
UPPER WILDCAT LAKE,"3000 ft S fm Derrick Lake, drains to Lower Wildcat Lake","47.48528, -121.49139"
VALLEY MEMORIAL PARK,King St   Carnation,"47.64250, -121.90806"
VAN AALST PARK,4th St & 13th Av   Kirkland,"47.68472, -122.20083"
VASA PARK,W Lake Sammamish Pkwy SE    King County,"47.57944, -122.11083"
VIEW LAKE,"1200 ft W of Jewel Lake, drains to Nazanne Lake","47.59111, -121.28194"
VIEWPOINT PARK  (Redmond),NE 24th St & 180th Av NE   Redmond,"47.63111, -122.09389"
WALKER LAKE,"1 1/2 mi SE of Deep Lake, drains Coal Creek to Green River","47.26444, -121.90583"
WALSH LAKE,"Inlets by Webster & Hotel Creeks, drains via Rock Creek","47.40861, -121.92722"
WALTER M HOLLERBACH PARK,90th Av SE & SE 45th St   Mercer Island,"47.56500, -122.21556"
WAPATO LAKE,"Drains to Tolt River, 3200 ft E of Lake Joy","47.69333, -121.84806"
WATERSHED PARK,4500 110th Av NE & 107th Pl NE   Kirkland,"47.64833, -122.19000"
WAVERLY BEACH PARK,633 Waverly Way   Kirkland,"47.68778, -122.21556"
WEBSTER LAKE,"2500 ft NE fm Francis Lake, drains to Francis Lake ","47.44194, -122.02556"
WELCOME LAKE,"At 220th Av NE and NE 139th St ,Drains to Bear Creek","47.72389, -122.04806"
WELCOME PARK,NE Redmond Wy & 140th Av NE   Redmond,"47.67306, -122.14944"
WEOWNA BEACH COUNTY PARK,1400 168th Av SE  Bellevue,"47.60139, -122.11306"
WERNECKE LAKE,Drains 1.5 mi E to Foss River just below forks,"47.65556, -121.32472"
WEST FORK CAMPGROUND,"On Miller River road, S of Miller River Campground","47.67028, -121.39306"
WEST FORK FOSS RIVER TRAILHEAD,Trailhead is at end of FS 68 (Foss River Rd),"47.63694, -121.30111"
WESTSIDE PARK,156th Av NE   & NE 57th   Redmond,"47.66000, -122.12806"
WESTWOOD HIGHLANDS NEIGHBORHOOD PARK,Highland Dr  at approx SE 56th  Bellevue,"47.55194, -122.14944"
WEYERHAEUSER GATE (4),"Exit 27, I-90  go down hill to Meadowbrook Wy, turn lft on 396 Dr SE around Mill to gate ","47.55528, -121.80222"
WEYERHAEUSER GATE (GRASS MTN), MP 30.6 on N side of Hwy 410,"47.16278, -121.88861"
WEYERHAEUSER GATE (GRIFFIN CRK),"Hwy 203, south of Carnation, go east on NE 11th St","47.60417, -121.88222"
WEYERHAEUSER GATE (Road to),At MP 33.4 on Hwy 2 turn South on For. Serv. Rd 62 & go 6 mi to gate,"47.81944, -121.60889"
WEYERHAEUSER GATE (SPUR 10),"Exit 31, I-90 same directions as Spur 10 gate","47.57528, -121.73694"
WHITE LAKE,"Adj to Black Diamond Rd, drains to Green River","47.30056, -122.20500"
WHITE RIVER MILL POND,"Log pond, in/out Boise Creek to White River","47.18611, -121.92500"
WHITE RIVER PARK,Oravetz Rd & Mill Pond Dr   Auburn,"47.26722, -122.22417"
WHITE RIVER RANGER STATION,On N side of Roosevelt Ave E just before King County Fairgrounds,"47.20056, -121.96778"
WHITMER LAKE,"2000 ft SW of Rock Lake, Drains to M Fk Snoqualmie R.","47.54056, -121.45083"
WHITNEY BRIDGE PARK,SE Green Valley Rd   & 218th Av SE  King Co.,"47.28333, -122.05333"
WIDOW LAKE,"Drains to MF Snoqualmie River, 1 mi S of Russian Butte","47.48694, -121.59611"
WILDCAT LAKE (LOWER),"1500 ft E fm Upper Wildcat Lake, dr via Wildcat Creek","47.48528, -121.47861"
WILDERNESS LAKE,"Extends into 204D S fm Maple Valley, drains Jenkins Crk ","47.37667, -122.03611"
WILDERNESS LAKE,"Extension of lake in 204B, drains Jenkins Creek to Green River","47.37306, -122.03417"
WILDWOOD PARK  (Bellevue),102nd Av SE & SE 3rd St   Bellevue,"47.51722, -122.20278"
WILLIAM F MCCORMIC PARK,Stephens St next to Snoqualmie River  Duvall,"47.73972, -121.98694"
WILLIAMS HOLE,"6 mi E from Greenwater on N side Divide Ridge, dr to Rock Creek","47.15000, -121.52333"
WILLIAMS LAKE TRAILHEAD,Trail starts from trail 1030,"47.54333, -121.25000"
WILSON LAKE,"1 1/4 mi SE of Carnation, drains to Tolt River","47.63833, -121.88667"
WINDY GAP,"On Pacific Crest trail, on King-Kittitas County Lines ","47.09917, -121.40361"
WINDY LAKE,"2000 ft SW of Kaleetan Lake, dr to Kaleetan Lake","47.46083, -121.50194"
WINTER LAKE,"E of Bengston Lake, S of Snohomish County Line","47.76583, -121.68583"
WISEMAN LAKE,"2000 ft S from Deep Lake, drain to Green River","47.26583, -121.94222"
WITTENMEYER LAKE,At 124 Ave NE and NE 124th St,"47.71083, -122.17500"
WRIGHT MOUNTAIN,Between Gem and Lower Wildcat Lakes,"47.48111, -121.46556"
YAKIMA PASS,On King-Kittitas County Line west of Lost Lake,"47.33694, -121.43139"
YELLOW LAKE,"3 mi N of Issaquah, drains to N Fk Issaquah Creek","47.57222, -122.01056"
